drug1,drug2,text,interacts,type
DDI-DrugBank.d466.s0.e0,DDI-DrugBank.d466.s0.e1,Drug Interaction with drug1 and drug2 drug0,False, 
DDI-DrugBank.d466.s0.e0,DDI-DrugBank.d466.s0.e2,Drug Interaction with drug1 and drug0 drug2,False, 
DDI-DrugBank.d466.s1.e0,DDI-DrugBank.d466.s1.e1,"However, co  administration of drug1 with either drug2 or drug0 led to increased plasma concentrations of drug0",True,mechanism
DDI-DrugBank.d466.s1.e0,DDI-DrugBank.d466.s1.e2,"However, co  administration of drug1 with either drug0 or drug2 led to increased plasma concentrations of drug0",True,mechanism
DDI-DrugBank.d466.s1.e0,DDI-DrugBank.d466.s1.e3,"However, co  administration of drug1 with either drug0 or drug0 led to increased plasma concentrations of drug2",False, 
DDI-DrugBank.d466.s1.e1,DDI-DrugBank.d466.s1.e2,"However, co  administration of drug0 with either drug1 or drug2 led to increased plasma concentrations of drug0",False, 
DDI-DrugBank.d466.s2.e0,DDI-DrugBank.d466.s2.e1,drug1 had no effect on the pharmacokinetics of either drug2 or drug0,False, 
DDI-DrugBank.d466.s2.e0,DDI-DrugBank.d466.s2.e2,drug1 had no effect on the pharmacokinetics of either drug0 or drug2,False, 
DDI-DrugBank.d466.s3.e0,DDI-DrugBank.d466.s3.e1,"In 2 separate studies, drug1 120 mg twice daily (240 mg total daily dose) was co-administered with either drug2 500 mg every 8 hours or drug0",False, 
DDI-DrugBank.d466.s3.e0,DDI-DrugBank.d466.s3.e2,"In 2 separate studies, drug1 120 mg twice daily (240 mg total daily dose) was co-administered with either drug0 500 mg every 8 hours or drug2",False, 
DDI-DrugBank.d466.s4.e0,DDI-DrugBank.d466.s4.e1,No differences in adverse events or QTc interval were observed when subjects were administered drug1 alone or in combination with either drug2 or drug0,False, 
DDI-DrugBank.d466.s4.e0,DDI-DrugBank.d466.s4.e2,No differences in adverse events or QTc interval were observed when subjects were administered drug1 alone or in combination with either drug0 or drug2,False, 
DDI-DrugBank.d466.s5.e0,DDI-DrugBank.d466.s5.e1,The findings of these studies are summarized in the following table: Effects on steady-state drug1 pharmacokinetics after 7 days of co-administration with drug2,False, 
DDI-DrugBank.d466.s17.e0,DDI-DrugBank.d466.s17.e1,These studies indicate that drug1 or drug2 co-administration enhances drug0,False, 
DDI-DrugBank.d466.s17.e0,DDI-DrugBank.d466.s17.e2,These studies indicate that drug1 or drug0 co-administration enhances drug2,True,mechanism
DDI-DrugBank.d466.s17.e1,DDI-DrugBank.d466.s17.e2,These studies indicate that drug0 or drug1 co-administration enhances drug2,True,mechanism
DDI-DrugBank.d466.s18.e0,DDI-DrugBank.d466.s18.e1,"This observed increase in the bioavailability of drug1 may be due to transport-related effects, such as p-glycoprotein. in vivo animal studies also suggest that in addition to enhancing absorption, drug2 decreases drug0 gastrointestinal secretion, while drug0",False, 
DDI-DrugBank.d466.s18.e0,DDI-DrugBank.d466.s18.e2,"This observed increase in the bioavailability of drug1 may be due to transport-related effects, such as p-glycoprotein. in vivo animal studies also suggest that in addition to enhancing absorption, drug0 decreases drug2 gastrointestinal secretion, while drug0",False, 
DDI-DrugBank.d466.s18.e1,DDI-DrugBank.d466.s18.e2,"This observed increase in the bioavailability of drug0 may be due to transport-related effects, such as p-glycoprotein. in vivo animal studies also suggest that in addition to enhancing absorption, drug1 decreases drug2 gastrointestinal secretion, while drug0",True,mechanism
DDI-DrugBank.d466.s19.e0,DDI-DrugBank.d466.s19.e1,Drug Interactions with drug1 Administration of 120 mg of drug2 (2 x 60 mg capsule) within 15 minutes of an drug0 and drug0 containing drug0 (drug0 ) decreased drug0,False, 
DDI-DrugBank.d466.s19.e0,DDI-DrugBank.d466.s19.e2,Drug Interactions with drug1 Administration of 120 mg of drug0 (2 x 60 mg capsule) within 15 minutes of an drug2 and drug0 containing drug0 (drug0 ) decreased drug0,False, 
DDI-DrugBank.d466.s19.e1,DDI-DrugBank.d466.s19.e2,Drug Interactions with drug0 Administration of 120 mg of drug1 (2 x 60 mg capsule) within 15 minutes of an drug2 and drug0 containing drug0 (drug0 ) decreased drug0,True,mechanism
DDI-DrugBank.d466.s19.e1,DDI-DrugBank.d466.s19.e3,Drug Interactions with drug0 Administration of 120 mg of drug1 (2 x 60 mg capsule) within 15 minutes of an drug0 and drug2 containing drug0 (drug0 ) decreased drug0,True,mechanism
DDI-DrugBank.d466.s19.e1,DDI-DrugBank.d466.s19.e4,Drug Interactions with drug0 Administration of 120 mg of drug1 (2 x 60 mg capsule) within 15 minutes of an drug0 and drug0 containing drug2 (drug0 ) decreased drug0,True,mechanism
DDI-DrugBank.d466.s19.e1,DDI-DrugBank.d466.s19.e5,Drug Interactions with drug0 Administration of 120 mg of drug1 (2 x 60 mg capsule) within 15 minutes of an drug0 and drug0 containing drug0 (drug2 ) decreased drug0,True,mechanism
DDI-DrugBank.d466.s20.e0,DDI-DrugBank.d466.s20.e1,drug1 should not be taken closely in time with drug2 and drug0 containing drug0,True,advise
DDI-DrugBank.d466.s20.e0,DDI-DrugBank.d466.s20.e2,drug1 should not be taken closely in time with drug0 and drug2 containing drug0,True,advise
DDI-DrugBank.d466.s20.e0,DDI-DrugBank.d466.s20.e3,drug1 should not be taken closely in time with drug0 and drug0 containing drug2,False, 
DDI-DrugBank.d466.s20.e1,DDI-DrugBank.d466.s20.e2,drug0 should not be taken closely in time with drug1 and drug2 containing drug0,False, 
DDI-DrugBank.d466.s27.e0,DDI-DrugBank.d466.s27.e1,"Therefore, to maximize the effects of drug1, it is recommended that drug2",False, 
DDI-DrugBank.d153.s0.e0,DDI-DrugBank.d153.s0.e1,The administration of local drug1 containing drug2 or drug0 to patients receiving drug0 or drug0,False, 
DDI-DrugBank.d153.s0.e0,DDI-DrugBank.d153.s0.e2,The administration of local drug1 containing drug0 or drug2 to patients receiving drug0 or drug0,False, 
DDI-DrugBank.d153.s0.e1,DDI-DrugBank.d153.s0.e3,The administration of local drug0 containing drug1 or drug0 to patients receiving drug2 or drug0,True,effect
DDI-DrugBank.d153.s0.e1,DDI-DrugBank.d153.s0.e4,The administration of local drug0 containing drug1 or drug0 to patients receiving drug0 or drug2,True,effect
DDI-DrugBank.d153.s0.e2,DDI-DrugBank.d153.s0.e3,The administration of local drug0 containing drug0 or drug1 to patients receiving drug2 or drug0,True,effect
DDI-DrugBank.d153.s0.e2,DDI-DrugBank.d153.s0.e4,The administration of local drug0 containing drug0 or drug1 to patients receiving drug0 or drug2,True,effect
DDI-DrugBank.d153.s3.e0,DDI-DrugBank.d153.s3.e1,Concurrent administration of drug1 and of drug2,False, 
DDI-DrugBank.d153.s4.e0,DDI-DrugBank.d153.s4.e1,drug1 and drug2 may reduce or reverse the pressor effect of drug0,False, 
DDI-DrugBank.d153.s4.e0,DDI-DrugBank.d153.s4.e2,drug1 and drug0 may reduce or reverse the pressor effect of drug2,True,effect
DDI-DrugBank.d153.s4.e1,DDI-DrugBank.d153.s4.e2,drug0 and drug1 may reduce or reverse the pressor effect of drug2,True,effect
